date,name,category,value
16/04/2023,Toronto Blue Jays,ALEast,10
16/04/2023,Tampa Bay Rays,ALEast,14
16/04/2023,Washington Nationals,NLEast,5
16/04/2023,Cleveland Guardians,ALCentral,9
16/04/2023,San Francisco Giants,NLWest,5
16/04/2023,Detroit Tigers,ALCentral,5
17/04/2023,Boston Red Sox,ALEast,8
17/04/2023,Los Angeles Angels,ALEast,8
17/04/2023,Cincinnati Reds,NLCentral,7
17/04/2023,Tampa Bay Rays,ALEast,14
17/04/2023,Colorado Rockies,NLWest,5
17/04/2023,Pittsburgh Pirates,NLCentral,10
17/04/2023,Houston Astros,ALEast,8
17/04/2023,Toronto Blue Jays,ALEast,10
17/04/2023,Kansas City Royals,ALCentral,4
17/04/2023,Texas Rangers,ALEast,10
17/04/2023,Los Angeles Dodgers,NLWest,8
17/04/2023,New York Mets,NLEast,11
17/04/2023,Miami Marlins,NLEast,9
17/04/2023,San Francisco Giants,NLWest,5
17/04/2023,Oakland Athletics,ALEast,3
17/04/2023,Chicago Cubs,NLCentral,9
17/04/2023,San Diego Padres,NLWest,8
17/04/2023,Atlanta Braves,NLEast,13
17/04/2023,Seattle Mariners,ALEast,8
17/04/2023,Milwaukee Brewers,NLCentral,12
17/04/2023,St. Louis Cardinals,NLCentral,7
17/04/2023,Arizona Diamondbacks,NLWest,10
17/04/2023,Baltimore Orioles,ALEast,9
17/04/2023,Chicago White Sox,ALCentral,6
17/04/2023,Minnesota Twins,ALCentral,10
17/04/2023,New York Yankees,ALEast,10
17/04/2023,Cleveland Guardians,ALCentral,9
17/04/2023,Detroit Tigers,ALCentral,5
17/04/2023,Philadelphia Phillies,NLEast,6
17/04/2023,Washington Nationals,NLEast,5
18/04/2023,Boston Red Sox,ALEast,9
18/04/2023,Minnesota Twins,ALCentral,10
18/04/2023,Chicago White Sox,ALCentral,7
18/04/2023,Philadelphia Phillies,NLEast,7
18/04/2023,Cincinnati Reds,NLCentral,7
18/04/2023,Tampa Bay Rays,ALEast,15
18/04/2023,Colorado Rockies,NLWest,5
18/04/2023,Pittsburgh Pirates,NLCentral,11
18/04/2023,Detroit Tigers,ALCentral,7
18/04/2023,Cleveland Guardians,ALCentral,9
18/04/2023,Houston Astros,ALEast,8
18/04/2023,Toronto Blue Jays,ALEast,11
18/04/2023,Kansas City Royals,ALCentral,4
18/04/2023,Texas Rangers,ALEast,11
18/04/2023,Los Angeles Dodgers,NLWest,9
18/04/2023,New York Mets,NLEast,11
18/04/2023,Miami Marlins,NLEast,10
